Industry Name,Amortization Period,Number of firms,Annual Average Revenue growth - Last 5 years,Pre-tax Operating Margin (Unadjusted),After-tax ROC,Average effective tax rate,Unlevered Beta,Equity (Levered) Beta,Cost of equity,Std deviation in stock prices,Pre-tax cost of debt,Market Debt/Capital,Cost of capital,Sales/Capital,EV/Sales,EV/EBITDA,EV/EBIT,Price/Book,Trailing PE,Non-cash WC as % of Revenues,Cap Ex as % of Revenues,Net Cap Ex as % of Revenues,Reinvestment Rate,ROE,Dividend Payout Ratio,Equity Reinvestment Rate,Pre-tax Operating Margin (Lease & R&D adjusted)
Machinery,10,1492,6.07%,9.92%,12.71%,21.30%,1.04,1.07,10.74%,29.76%,6.44%,13.31%,9.95%,1.48,2.15,14.74,20.51,2.93,59.82,28.32%,4.19%,4.24%,91.59%,12.00%,41.45%,41.45%,10.08%
Metals & Mining,5,1815,19.80%,10.66%,14.84%,30.84%,0.99,1.09,10.87%,57.51%,6.70%,21.73%,9.60%,1.44,1.32,7.82,11.72,1.84,54.2,11.98%,8.00%,4.90%,84.86%,10.50%,85.95%,85.95%,10.72%
Office Equipment & Services,5,137,7.10%,7.10%,11.21%,26.68%,0.78,0.83,9.19%,27.91%,6.44%,22.26%,8.22%,1.95,1.06,9.43,14.41,1.84,148.71,13.32%,2.47%,1.61%,30.44%,8.26%,52.40%,52.40%,7.15%
Oil/Gas (Integrated),5,36,17.37%,18.33%,21.96%,41.15%,0.94,0.99,10.23%,26.84%,6.44%,14.88%,9.42%,1.66,1.27,5.33,6.91,2,14.03,3.25%,7.55%,1.79%,14.71%,21.12%,48.94%,48.94%,18.40%
Oil/Gas (Production and Exploration),5,590,26.67%,36.36%,24.16%,31.26%,0.96,1.09,10.86%,48.39%,6.44%,21.37%,9.57%,0.72,2.38,4.22,6.4,1.54,17.55,1.14%,27.79%,14.23%,53.68%,21.87%,38.35%,38.35%,36.60%
Oil/Gas Distribution,5,174,14.22%,20.65%,12.63%,17.58%,0.58,0.85,9.36%,29.60%,6.44%,41.34%,7.48%,0.7,2.44,8.65,11.67,1.73,379.61,4.04%,11.72%,8.02%,47.88%,19.80%,58.13%,58.13%,20.77%
Oilfield Svcs/Equip.,5,444,7.79%,6.72%,14.55%,23.02%,0.82,0.98,10.14%,36.10%,6.44%,29.36%,8.57%,2.48,0.64,6.44,8.89,1.49,46.83,6.44%,3.93%,2.15%,41.17%,16.71%,25.28%,25.28%,6.78%
Packaging & Container,5,426,5.26%,8.57%,11.00%,22.78%,0.63,0.81,9.10%,27.47%,6.44%,33.20%,7.67%,1.5,1.31,9.05,14.92,1.95,30.82,13.35%,6.79%,4.49%,80.31%,8.38%,66.20%,66.20%,8.67%
Paper/Forest Products,10,266,3.02%,6.55%,4.96%,20.85%,0.67,0.91,9.72%,29.23%,6.44%,39.22%,7.79%,0.87,1.31,10.15,19.41,1.07,53.23,19.30%,10.36%,6.83%,152.70%,6.47%,55.88%,55.88%,6.53%
Power,#N/A,488,10.55%,13.54%,7.78%,20.81%,0.45,0.74,8.60%,25.34%,6.44%,49.59%,6.72%,0.69,1.98,8.71,14.11,1.31,19.75,5.13%,16.15%,9.78%,94.00%,12.43%,63.06%,63.06%,13.55%
Precious Metals,5,853,39.66%,11.72%,9.09%,25.66%,1.04,1.09,10.88%,60.16%,6.70%,15.54%,9.96%,0.81,2.39,8.81,18.83,1.68,250.17,10.88%,18.59%,11.28%,156.07%,4.32%,98.31%,98.31%,11.75%
Publishing & Newspapers,3,324,2.14%,6.76%,8.38%,15.10%,0.89,0.89,9.61%,30.65%,6.44%,18.70%,8.72%,1.46,1.34,11.15,18.76,1.58,151.6,9.37%,3.32%,0.14%,12.41%,7.71%,41.36%,41.36%,6.65%
R.E.I.T.,3,659,9.31%,31.48%,3.42%,3.15%,0.52,0.8,9.04%,19.51%,5.85%,43.92%,6.99%,0.12,11.74,20.99,35.18,1.52,63.34,108.17%,6.47%,-5.24%,-15.37%,2.36%,303.72%,303.72%,29.48%
Real Estate (Development),3,884,10.49%,5.01%,2.05%,29.36%,0.42,0.98,10.19%,32.26%,6.44%,71.34%,6.35%,0.48,1.68,13.21,25.06,0.47,85.62,193.73%,2.42%,1.56%,-248.75%,-3.48%,0.80%,0.80%,4.98%
Real Estate (General/Diversified),3,336,4.39%,15.17%,3.51%,28.12%,0.54,0.94,9.91%,25.55%,6.44%,54.74%,7.12%,0.26,3.35,13.53,19.76,0.68,82.38,112.97%,8.63%,8.26%,110.17%,3.97%,57.55%,57.55%,15.73%
Real Estate (Operations & Services),3,748,8.53%,16.93%,3.91%,20.98%,0.56,0.88,9.49%,28.97%,6.44%,47.13%,7.28%,0.25,4.07,16.5,21.26,0.92,66.29,19.38%,2.51%,2.32%,13.56%,-2.82%,0.66%,0.66%,17.58%
Recreation,5,326,6.75%,11.26%,11.19%,24.55%,0.9,0.99,10.26%,31.55%,6.44%,21.27%,9.10%,1.22,2.16,11.79,19.32,3.04,65.71,16.35%,6.22%,3.06%,48.29%,9.45%,48.69%,48.69%,10.63%
Reinsurance,#N/A,34,8.03%,10.23%,23.30%,17.11%,1.09,1.14,11.19%,23.43%,5.85%,21.54%,9.72%,2.61,0.76,8.52,7.38,1.34,13.5,-69.73%,0.07%,1.85%,31.39%,19.00%,21.04%,21.04%,10.23%
Restaurant/Dining,2,394,3.63%,9.51%,12.88%,19.20%,0.85,0.98,10.16%,29.86%,6.44%,21.47%,9.01%,1.72,2.69,16.48,29.13,9.19,79.59,-1.56%,4.21%,1.65%,24.84%,24.65%,64.04%,64.04%,8.69%
Retail (Automotive),2,204,7.40%,4.58%,10.48%,22.76%,0.72,1,10.28%,32.73%,6.44%,38.45%,8.18%,2.92,0.76,11.19,16.61,3.25,30.24,10.71%,1.95%,1.73%,82.83%,20.77%,26.14%,26.14%,4.37%
Retail (Building Supply),2,120,5.39%,10.88%,24.34%,24.35%,0.96,1.11,10.98%,30.07%,6.44%,18.64%,9.83%,2.83,1.86,12.92,17.01,19.81,33.62,8.97%,2.64%,0.85%,5.88%,85.23%,47.32%,47.32%,10.74%
Retail (Distributors),2,1028,10.37%,5.22%,8.73%,22.08%,0.61,0.8,9.02%,31.08%,6.44%,36.45%,7.49%,1.99,0.83,11.84,15.17,1.69,47.96,15.95%,2.74%,2.79%,75.08%,14.33%,36.17%,36.17%,5.26%
Retail (General),2,256,0.96%,4.35%,8.35%,19.38%,0.99,1.09,10.84%,29.73%,6.44%,16.81%,9.82%,2.13,1.48,15.61,34.18,4.78,65.25,-1.25%,4.72%,1.90%,72.59%,15.08%,25.89%,25.89%,4.60%
Retail (Grocery and Food),2,201,5.33%,3.92%,10.89%,23.48%,0.55,0.71,8.40%,25.26%,6.44%,33.37%,7.20%,3.42,0.63,9.29,15.85,2.51,40.91,-3.03%,2.96%,0.99%,30.01%,10.05%,50.22%,50.22%,3.96%
Retail (REITs),3,123,5.32%,48.37%,4.50%,4.50%,0.61,0.95,9.95%,17.43%,5.85%,43.60%,7.52%,0.1,12.06,18.14,23,1.17,77.56,-7.14%,3.46%,-3.25%,-8.53%,3.56%,165.16%,165.16%,47.50%
Retail (Special Lines),2,639,5.19%,5.04%,11.76%,25.22%,0.98,1.09,10.87%,33.82%,6.44%,21.09%,9.59%,2.69,1.12,11.71,21.07,3.58,48.4,6.13%,2.26%,1.02%,22.25%,8.23%,71.10%,71.10%,5.16%
Rubber& Tires,#N/A,89,5.15%,8.78%,8.67%,22.93%,0.88,1.04,10.58%,26.90%,6.44%,29.81%,8.86%,1.18,1.03,6.94,11.45,1.25,30.55,22.17%,6.43%,4.07%,70.27%,9.02%,36.94%,36.94%,8.84%
Semiconductor,5,647,5.77%,16.32%,11.42%,12.20%,1.67,1.68,14.66%,34.38%,6.44%,7.37%,13.94%,0.74,6.33,20.98,37.45,5.05,110.97,16.66%,20.55%,11.50%,93.44%,12.68%,50.89%,50.89%,16.74%
Semiconductor Equip,5,367,8.23%,21.82%,23.28%,15.58%,1.97,1.95,16.41%,33.51%,6.44%,5.80%,15.73%,1.18,5.14,19.32,23.2,6.02,53.59,31.06%,10.52%,8.21%,60.57%,26.29%,28.64%,28.64%,22.43%
Shipbuilding & Marine,#N/A,348,8.74%,17.22%,11.15%,13.25%,0.86,0.95,9.94%,29.86%,6.44%,30.87%,8.36%,0.75,1.48,6.12,8.45,0.95,16.82,-0.49%,10.79%,5.45%,15.41%,13.64%,98.44%,98.44%,17.20%
