Industry Name,Amortization Period,Number of firms,Annual Average Revenue growth - Last 5 years,Pre-tax Operating Margin (Unadjusted),After-tax ROC,Average effective tax rate,Unlevered Beta,Equity (Levered) Beta,Cost of equity,Std deviation in stock prices,Pre-tax cost of debt,Market Debt/Capital,Cost of capital,Sales/Capital,EV/Sales,EV/EBITDA,EV/EBIT,Price/Book,Trailing PE,Non-cash WC as % of Revenues,Cap Ex as % of Revenues,Net Cap Ex as % of Revenues,Reinvestment Rate,ROE,Dividend Payout Ratio,Equity Reinvestment Rate,Pre-tax Operating Margin (Lease & R&D adjusted)
Office Equipment & Services,5,17,15.85%,7.29%,12.93%,44.32%,0.88,1.14,9.12%,30.28%,5.09%,34.46%,7.29%,2.07,1.17,9.34,15.61,2.54,249.16,9.13%,2.29%,1.98%,16.58%,2.66%,225.17%,225.17%,7.53%
Oil/Gas (Integrated),5,4,1.76%,15.60%,17.04%,29.51%,0.64,0.67,6.96%,26.44%,5.09%,11.11%,6.61%,1.37,1.35,6.24,8.54,1.82,8.02,3.37%,7.39%,-0.02%,-1.67%,19.85%,37.14%,37.14%,15.78%
Oil/Gas (Production and Exploration),5,166,23.28%,37.27%,28.41%,20.34%,0.82,0.93,8.16%,46.31%,5.09%,18.88%,7.34%,0.8,2.65,4.67,6.98,1.94,16.33,1.00%,30.05%,16.05%,50.40%,31.09%,31.27%,31.27%,37.69%
Oil/Gas Distribution,5,24,27.45%,37.95%,20.60%,18.24%,0.53,0.79,7.52%,32.55%,5.09%,41.25%,5.99%,0.59,3.58,7.31,9.29,2.32,18.41,2.53%,16.53%,13.12%,40.28%,42.41%,39.84%,39.84%,38.21%
Oilfield Svcs/Equip.,5,100,7.74%,8.72%,28.02%,21.84%,0.85,0.98,8.39%,43.73%,5.09%,24.32%,7.27%,3.55,0.63,5.42,7.08,1.98,70.3,6.34%,2.36%,0.58%,15.49%,29.65%,18.81%,18.81%,8.85%
Packaging & Container,5,22,3.42%,9.76%,14.21%,23.99%,0.81,1.13,9.09%,26.24%,5.09%,37.99%,7.09%,1.74,1.4,8.63,14.03,2.57,19.64,11.12%,6.13%,4.83%,67.96%,8.54%,70.22%,70.22%,9.98%
Paper/Forest Products,10,7,3.84%,9.96%,18.90%,30.91%,1.59,1.94,12.80%,43.04%,5.09%,27.20%,10.35%,2.14,1.04,7.06,10.31,2.42,19.99,12.90%,7.59%,5.07%,99.70%,15.17%,27.58%,27.58%,10.14%
Power,#N/A,50,5.33%,16.29%,5.78%,16.14%,0.39,0.65,6.87%,20.39%,4.50%,48.17%,5.19%,0.41,3.72,11.69,22.34,1.71,23.19,8.26%,33.95%,22.70%,173.43%,8.60%,76.67%,76.67%,16.29%
Precious Metals,5,61,11.64%,9.48%,4.69%,22.88%,0.83,0.87,7.88%,63.61%,5.35%,13.20%,7.37%,0.51,3.96,13.01,40.06,2.04,34.23,9.83%,25.41%,9.54%,146.26%,-2.33%,0.88%,0.88%,9.48%
Publishing & Newspapers,3,21,1.43%,7.80%,13.86%,30.08%,0.82,0.96,8.30%,38.20%,5.09%,24.51%,7.20%,2,1.44,10.52,18.91,2.05,29.24,10.13%,3.59%,-1.29%,-13.31%,3.40%,87.16%,87.16%,7.68%
R.E.I.T.,3,193,8.36%,24.34%,2.98%,3.21%,0.66,1.03,8.63%,23.72%,4.50%,44.15%,6.31%,0.14,11.49,21.02,47.68,2.01,117.17,133.69%,2.97%,-15.12%,-66.51%,4.57%,215.22%,215.22%,21.77%
Real Estate (Development),3,17,55.56%,12.61%,2.93%,24.26%,0.43,0.67,6.96%,34.24%,5.09%,48.48%,5.43%,0.27,4.38,17.93,36.27,1.35,8.02,4.08%,2.54%,-5.93%,-97.27%,-8.54%,0.00%,0.00%,11.16%
Real Estate (General/Diversified),3,11,9.08%,16.13%,5.31%,17.40%,0.51,0.56,6.47%,35.91%,5.09%,24.17%,5.83%,0.37,4.78,18.01,28.44,1.25,33.23,201.30%,2.84%,-5.14%,-59.41%,9.11%,24.92%,24.92%,16.44%
Real Estate (Operations & Services),3,60,5.44%,-0.28%,0.07%,18.04%,0.88,1.08,8.85%,44.19%,5.09%,30.83%,7.30%,1.45,1.51,14.98,NA,2.87,104.24,9.69%,1.30%,-1.17%,NA,-8.27%,0.76%,0.76%,0.05%
Recreation,5,55,10.95%,9.66%,9.54%,27.91%,0.85,1.17,9.27%,44.30%,5.09%,36.94%,7.25%,1.28,1.84,9.99,21.72,3.46,27.7,18.04%,7.11%,3.21%,56.16%,2.56%,199.59%,199.59%,8.10%
Reinsurance,#N/A,1,6.95%,9.66%,30.12%,22.95%,0.61,0.66,6.89%,17.09%,4.50%,29.84%,5.84%,4.05,0.69,7.28,7.14,1.31,9.34,17.09%,0.14%,4.33%,75.61%,31.23%,18.93%,18.93%,9.66%
Restaurant/Dining,2,64,6.80%,15.80%,19.56%,19.97%,1.02,1.19,9.38%,35.37%,5.09%,20.46%,8.24%,1.62,4.19,16.6,29.33,NA,94.19,0.86%,5.79%,3.57%,34.51%,NA,53.08%,53.08%,13.61%
Retail (Automotive),2,30,17.50%,6.18%,13.20%,23.75%,1.06,1.49,10.75%,46.79%,5.09%,36.51%,8.22%,2.67,1.05,11.63,17.42,6.97,17.89,9.98%,1.91%,2.18%,71.35%,47.33%,5.79%,5.79%,5.71%
Retail (Building Supply),2,16,8.91%,12.51%,39.43%,24.04%,1.7,1.94,12.80%,45.21%,5.09%,16.61%,11.30%,3.64,2.17,13.33,17.19,NA,27.87,8.47%,2.43%,0.85%,2.33%,NA,46.64%,46.64%,12.38%
Retail (Distributors),2,62,5.81%,11.95%,18.61%,23.45%,0.91,1.11,8.97%,37.74%,5.09%,24.41%,7.71%,1.82,1.81,11.63,13.82,4.03,28.91,17.42%,6.26%,9.22%,103.75%,25.45%,25.22%,25.22%,12.17%
Retail (General),2,26,18.06%,4.41%,9.89%,21.72%,1.17,1.25,9.61%,38.28%,5.09%,11.84%,8.93%,2.41,1.57,16.63,38.47,7.24,29.84,0.77%,5.20%,2.28%,79.45%,19.55%,21.74%,21.74%,4.70%
Retail (Grocery and Food),2,14,6.59%,2.42%,10.99%,22.91%,0.36,0.49,6.15%,25.65%,5.09%,35.83%,5.31%,4.76,0.41,6.38,19.8,2.9,16.76,-0.24%,2.66%,1.33%,114.28%,14.78%,36.92%,36.92%,2.65%
Retail (REITs),3,28,4.11%,36.75%,4.46%,4.20%,0.79,1.12,9.04%,20.72%,4.50%,37.04%,6.94%,0.13,12.15,17.43,34.71,1.94,74.09,-9.87%,5.17%,-26.53%,-81.80%,6.52%,155.57%,155.57%,35.01%
Retail (Special Lines),2,105,12.07%,4.62%,13.50%,24.71%,0.97,1.18,9.31%,44.01%,5.09%,26.55%,7.85%,3.11,0.98,9.34,20.32,4.78,48.79,5.06%,2.59%,2.66%,55.23%,9.64%,87.04%,87.04%,4.80%
Rubber& Tires,#N/A,3,9.02%,1.84%,3.12%,#DIV/0!,0.26,0.67,6.98%,40.77%,5.09%,70.17%,4.76%,1.45,0.63,7.95,29.78,0.79,#DIV/0!,10.69%,5.42%,0.71%,-32.00%,-10.00%,#DIV/0!,#DIV/0!,2.16%
Semiconductor,5,63,6.44%,19.71%,11.37%,9.31%,1.46,1.5,10.76%,41.47%,5.09%,5.70%,10.36%,0.58,10.6,31.59,53.32,7.38,82.75,22.40%,17.00%,6.90%,49.86%,12.61%,48.87%,48.87%,20.54%
Semiconductor Equip,5,30,9.93%,24.19%,25.68%,12.27%,1.51,1.53,10.91%,37.04%,5.09%,7.22%,10.40%,1.16,5.24,18.18,21.53,8.1,163.52,34.56%,5.08%,2.60%,13.88%,32.89%,20.09%,20.09%,25.00%
Shipbuilding & Marine,#N/A,8,-0.68%,10.65%,9.24%,18.85%,0.69,0.81,7.61%,45.07%,5.09%,22.94%,6.74%,0.83,1.7,8.38,14.23,1.36,24.76,11.30%,10.24%,4.03%,50.27%,7.82%,29.34%,29.34%,11.94%
Shoe,3,13,11.49%,12.20%,24.04%,17.46%,1.27,1.29,9.82%,36.28%,5.09%,8.01%,9.34%,2.23,2.89,18.95,23.68,8.71,19.77,19.61%,0.86%,-0.52%,-20.18%,29.90%,32.26%,32.26%,12.18%
Software (Entertainment),3,84,17.41%,26.80%,19.94%,16.57%,1.11,1.11,8.98%,52.79%,5.35%,3.06%,8.83%,0.74,6.03,17.16,22.22,6.24,30.82,4.78%,12.67%,8.70%,46.79%,23.26%,0.25%,0.25%,28.17%
Software (Internet),#N/A,35,22.24%,-3.36%,-0.48%,17.88%,1.51,1.62,11.31%,65.22%,6.09%,10.70%,10.59%,0.64,8.38,19.33,NA,9,35.18,9.67%,5.58%,2.83%,NA,-14.54%,0.00%,0.00%,-0.83%
Software (System & Application),#N/A,351,15.90%,25.30%,23.22%,17.85%,1.27,1.29,9.83%,52.09%,5.35%,5.84%,9.49%,0.92,10.72,28.43,39.48,11.03,88.72,11.20%,8.67%,5.92%,36.38%,24.44%,27.22%,27.22%,26.30%
Steel,5,29,7.87%,12.10%,22.18%,19.96%,1.08,1.13,9.06%,38.10%,5.09%,16.79%,8.18%,2.17,0.94,5.93,7.73,1.76,14.54,19.02%,6.20%,4.21%,15.70%,22.19%,12.47%,12.47%,12.15%
